rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name,type,value
GLOBAL,*,,,,,,,,,abstract,str,Oceanographic and meteorological data from the Southern Ocean Time Series observatory in the Southern Ocean southwest of Tasmania
GLOBAL,*,,,,,,,,,title,str,Oceanographic mooring data deployment of {platform_code} at latitude {geospatial_lat_max:3.1f} longitude {geospatial_lon_max:3.1f} depth {geospatial_vertical_max:3.0f} (m) instrument {instrument} serial {instrument_serial_number}
GLOBAL,*,,,,,,,,,author,str,"Jansen, Peter"
GLOBAL,*,,,,,,,,,author_email,str,peter.jansen@csiro.au
GLOBAL,*,,,,,,,,,citation,str,"The citation in a list of references is: 'IMOS [year-of-data-download], [Title], [data-access-URL], accessed [date-of-access].'."
GLOBAL,*,,,,,,,,,institution,str,DWM-SOTS
GLOBAL,*,,,,,,,,,principal_investigator,str,"Shadwick, Elizabeth; Shulz, Eric"
GLOBAL,*,,,,,,,,,principal_investigator_email,str,elizabeth.shadwick@csiro.au, eric.shulz@bom.gov.au
GLOBAL,*,,,,,,,,,site_code,str,SOTS
GLOBAL,*,,,,,,,,,geospatial_vertical_positive,str,down
GLOBAL,*,,,,,,,,,geospatial_lat_units,str,degrees_north
GLOBAL,*,,,,,,,,,geospatial_lon_units,str,degrees_east
GLOBAL,*,SOFS.*,,,,,,,,platform_code,str,SOFS
GLOBAL,*,SAZ47,,,,,,,,platform_code,str,SAZ47
GLOBAL,*,SAZ54,,,,,,,,platform_code,str,SAZ54
GLOBAL,*,Pulse.*,,,,,,,,platform_code,str,Pulse
GLOBAL,*,FluxPulse.*,,,,,,,,platform_code,str,FluxPulse

GLOBAL,*,SOFS.*,,,,,,"","",wmo_platform_code,str,"58450"
GLOBAL,*,FluxPulse.*,,,,,,"","",wmo_platform_code,str,"58450"
