rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
VAR_ATT,TIME,,,,,,,,,standard_name,str,time
VAR_ATT,TIME,,,,,,,,,valid_max,float64,90000
VAR_ATT,TIME,,,,,,,,,valid_min,float64,0
VAR_ATT,TEMP,,,,,,,,,coordinates,str,TIME LATITUDE LONGITUDE NOMINAL_DEPTH
VAR_ATT,TEMP,,,,,,,,,long_name,str,sea_water_temperature
VAR_ATT,TEMP,,,,,,,,,standard_name,str,sea_water_temperature
VAR_ATT,TEMP,,,,,,,,,valid_max,float32,40
VAR_ATT,TEMP,,,,,,,,,valid_min,float32,-2.5
VAR_ATT,CNDC,,,,,,,,,coordinates,str,TIME LATITUDE LONGITUDE NOMINAL_DEPTH
VAR_ATT,CNDC,,,,,,,,,long_name,str,sea_water_electrical_conductivity
VAR_ATT,CNDC,,,,,,,,,standard_name,str,sea_water_electrical_conductivity
VAR_ATT,CNDC,,,,,,,,,valid_max,float32,50000
VAR_ATT,CNDC,,,,,,,,,valid_min,float32,0
VAR_ATT,PRES,,,,,,,,,applied_offset,float32,-10.135297
VAR_ATT,PRES,,,,,,,,,coordinates,str,TIME LATITUDE LONGITUDE NOMINAL_DEPTH
VAR_ATT,PRES,,,,,,,,,long_name,str,sea_water_pressure_due_to_sea_water
VAR_ATT,PRES,,,,,,,,,standard_name,str,sea_water_pressure_due_to_sea_water
VAR_ATT,PRES,,,,,,,,,valid_max,float32,12000
VAR_ATT,PRES,,,,,,,,,valid_min,float32,-15
VAR_ATT,DEPTH,,,,,,,,,coordinates,str,TIME LATITUDE LONGITUDE NOMINAL_DEPTH
VAR_ATT,DEPTH,,,,,,,,,long_name,str,actual depth
VAR_ATT,DEPTH,,,,,,,,,positive,str,down
VAR_ATT,DEPTH,,,,,,,,,reference_datum,str,sea surface
VAR_ATT,DEPTH,,,,,,,,,standard_name,str,depth
VAR_ATT,DEPTH,,,,,,,,,valid_max,float32,12000
VAR_ATT,DEPTH,,,,,,,,,valid_min,float32,-5
VAR_ATT,PSAL,,,,,,,,,coordinates,str,TIME LATITUDE LONGITUDE NOMINAL_DEPTH
VAR_ATT,PSAL,,,,,,,,,long_name,str,sea_water_practical_salinity
VAR_ATT,PSAL,,,,,,,,,standard_name,str,sea_water_practical_salinity
VAR_ATT,PSAL,,,,,,,,,valid_max,float32,41
VAR_ATT,PSAL,,,,,,,,,valid_min,float32,2

VAR_ATT,DOX2,,,,,,,,,coordinates,str,TIME LATITUDE LONGITUDE NOMINAL_DEPTH
VAR_ATT,DOX2,,,,,,,,,long_name,str,moles_of_oxygen_per_unit_mass_in_sea_water
VAR_ATT,DOX2,,,,,,,,,standard_name,str,moles_of_oxygen_per_unit_mass_in_sea_water
VAR_ATT,DOX2,,,,,,,,,valid_max,float32,400
VAR_ATT,DOX2,,,,,,,,,valid_min,float32,0

VAR_ATT,OXSOL,,,,,,,,,coordinates,str,TIME LATITUDE LONGITUDE NOMINAL_DEPTH
VAR_ATT,OXSOL,,,,,,,,,long_name,str,oxygen_solubility_per_unit_mass_in_seawater
VAR_ATT,OXSOL,,,,,,,,,valid_max,float32,400
VAR_ATT,OXSOL,,,,,,,,,valid_min,float32,0

VAR_ATT,PAR,,,,,,,,,coordinates,str,TIME LATITUDE LONGITUDE NOMINAL_DEPTH
VAR_ATT,PAR,,,,,,,,,valid_max,float32,10000
VAR_ATT,PAR,,,,,,,,,valid_min,float32,-2

VAR_ATT,DENSITY,,,,,,,,,coordinates,str,TIME LATITUDE LONGITUDE NOMINAL_DEPTH
VAR_ATT,DENSITY,,,,,,,,,units,str,kg/m^3
VAR_ATT,DENSITY,,,,,,,,,long_name,str,sea_water_density
VAR_ATT,DENSITY,,,,,,,,,standard_name,str,sea_water_density
VAR_ATT,DENSITY,,,,,,,,,valid_max,float32,1200
